ID,Floor
32933,13
19495,9
24210,6
17259,3
93415,5
92768,3
77039,1
96972,4
68472,6
42797,15
92687,2
23638,5
88979,7
32172,1
57000,7
91233,1
74447,9
91437,12
48224,11
60076,3
74632,3
81791,5
66666,5
82154,10
41703,5
40307,7
31976,5
59857,13
25023,14
68428,15
45853,14
84674,4
76355,3
97393,12
17457,9
39198,12
33033,14
27478,7
81248,12
97906,13
94121,11
71435,11
82054,15
69620,4
29904,12
86362,15
90217,8
37293,11
28229,5
22397,5
40410,7
18819,8
52096,14
11083,6
11351,1
35931,4
21724,10
31009,6
60039,14
86960,15
70851,14
33459,1
63364,13
83177,11
81407,2
86170,3
32014,4
37789,7
42939,13
99022,2
26408,4
61252,11
43126,8
31510,6
82090,5
86503,9
53565,9
98188,7
32466,14
92971,6
90669,10
74908,6
40105,3
38759,10
84906,6
65684,4
63856,15
56277,10
22945,11
47221,15
28020,11
47778,13
46263,10
75799,9
61505,14
23749,8
76725,13
29059,12
29436,3
78917,9
94305,12
33485,5
47063,6
77730,3
14628,11
36860,15
15954,6
53645,7
34369,14
33861,1
45464,15
44249,12
50613,13
82066,9
68223,15
57339,11
36314,13
95136,2
67046,3
71420,11
97677,7
49694,3
42022,4
17803,2
60883,15
72520,13
70817,3
30436,11
55004,5
35084,1
62240,11
83931,6
95061,6
43135,14
32978,1
59875,2
94287,12
90117,12
90093,14
76423,8
77410,9
34483,3
87305,12
96438,13
17434,11
62685,5
71443,10
94977,6
36846,1
61499,5
96482,2
37815,8
20413,10
55717,8
36551,10
68862,11
90847,3
19733,9
15998,2
45824,7
90441,12
74530,13
84142,5
20288,10
61551,3
84708,12
94710,9
70489,15
56239,1
63812,12
25105,7
42493,12
20745,2
39966,8
68651,11
38236,5
83615,14
28019,3
13706,1
96952,10
37198,5
28883,6
37223,9
99850,1
81055,14
41467,11
96643,10
26628,15
32328,5
27753,15
63341,2
86370,3
12574,10
66926,12
52809,14
24683,6
42679,1
40197,3
61650,12
43589,11
77566,8
63984,6
19116,11
20548,14
40175,4
65441,1
31406,5
48310,8
99839,3
80994,6
80214,2
67783,8
13644,14
85493,13
83138,15
52029,10
10605,15
46867,5
82477,8
60631,12
47569,2
68761,6
90662,15
70217,14
92629,5
81525,11
55098,2
98687,1
66560,15
10150,11
82592,3
67850,11
35257,8
96275,7
23641,4
51582,8
16511,15
50182,13
79907,8
84363,6
12575,7
87932,9
93916,7
48123,5
15928,11
18165,14
88706,10
83685,12
89401,3
